Country,Managed By,Fulfill Via,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Line Item Quantity,Line Item Value,Weight (Kilograms),Freight Cost (USD),Vendor,Line Item Insurance (USD),Line Item Insurance (USD,Delivery Year,Lead Time Days
haiti,PMO - US,Direct Drop,Air,,2007-07-26,2007-08-13,2007-08-21,2007-08-21,750,53992.5,171.0,3518.38,"Orgenics, Ltd",86.39,86.39,2007,8
haiti,PMO - US,Direct Drop,Air,,2007-07-26,2007-08-25,2007-08-25,2007-08-25,25,8750.0,60.0,3097.85,Orasure Technologies Inc.,14.0,14.0,2007,0
tanzania,PMO - US,Direct Drop,Air,,,2007-10-16,2007-10-16,2007-10-16,10000,200000.0,3335.0,27869.74,"Standard Diagnostics, Inc.",320.0,320.0,2007,0
tanzania,PMO - US,Direct Drop,Air,,,2007-11-22,2007-11-22,2007-11-22,10000,200000.0,3335.0,28461.1,"Standard Diagnostics, Inc.",320.0,320.0,2007,0
tanzania,PMO - US,Direct Drop,Air,,,2007-11-22,2007-11-22,2007-11-22,10000,200000.0,3335.0,28359.8,"Standard Diagnostics, Inc.",320.0,320.0,2007,0
ethiopia,PMO - US,Direct Drop,Air,,2007-10-03,2007-11-20,2007-11-20,2007-11-20,64000,99200.0,4228.0,12237.61,Aurobindo Pharma Limited,158.72,158.72,2007,0
nigeria,PMO - US,Direct Drop,Air,,2007-08-28,2007-10-03,2007-10-03,2007-10-03,10000,270000.0,3263.0,20885.78,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",432.0,432.0,2007,0
south africa,PMO - US,Direct Drop,Air,,2007-11-12,2008-01-29,2008-01-29,2008-01-29,40,317.6,,,"JSI R&T INSTITUTE, INC.",0.51,0.51,2008,0
vietnam,PMO - US,Direct Drop,Air,,2007-11-19,2008-01-21,2008-01-21,2008-01-21,1000,17000.0,76.0,2282.57,"GILEAD SCIENCES IRELAND, INC.",27.2,27.2,2008,0
vietnam,PMO - US,Direct Drop,Air,,2007-11-21,2008-01-21,2008-01-21,2008-01-21,400,3352.0,23.0,2149.05,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),5.36,5.36,2008,0
rwanda,PMO - US,Direct Drop,Air,,2007-12-10,2008-01-31,2008-01-31,2008-01-31,1500,15.0,99.0,0.75,"Orgenics, Ltd",0.02,0.02,2008,0
nigeria,PMO - US,Direct Drop,Air,,,2008-02-05,2008-02-05,2008-02-05,650,6.5,,,"Orgenics, Ltd",0.01,0.01,2008,0
south africa,PMO - US,Direct Drop,Air,,2008-01-04,2008-01-21,2008-01-04,2008-01-04,200,340.0,,,"JSI R&T INSTITUTE, INC.",0.54,0.54,2008,-17
haiti,PMO - US,Direct Drop,Air,,,2008-02-18,2008-02-18,2008-02-18,2,278.0,,,"Trinity Biotech, Plc",0.44,0.44,2008,0
côte d'ivoire,PMO - US,Direct Drop,Air,,2008-02-27,2008-06-17,2008-06-17,2008-06-17,476,36176.0,509.0,5446.51,BIO-RAD LABORATORIES (FRANCE),57.88,57.88,2008,0
côte d'ivoire,PMO - US,Direct Drop,Air,,2008-03-03,2009-03-19,2009-03-19,2009-03-19,659,13180.0,206.0,2656.12,"Standard Diagnostics, Inc.",25.83,25.83,2009,0
guyana,PMO - US,Direct Drop,Air,,2008-02-28,2008-04-09,2008-04-01,2008-04-01,240,2.4,,,"Orgenics, Ltd",0.0,0.0,2008,-8
guyana,PMO - US,Direct Drop,Air,,2008-02-28,2008-07-28,2008-07-28,2008-07-28,213,2.13,14.0,360.0,"Orgenics, Ltd",0.0,0.0,2008,0
ethiopia,PMO - US,Direct Drop,Air,,2008-02-29,2008-03-11,2008-03-11,2008-03-11,63,13399.25,,,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,21.44,21.44,2008,0
zimbabwe,PMO - US,Direct Drop,Air,,2008-03-17,2008-11-17,2008-11-17,2008-11-17,1634,117631.66,373.0,4112.46,"Orgenics, Ltd",188.21,188.21,2008,0
nigeria,PMO - US,Direct Drop,Air,,2008-03-13,2008-04-17,2008-04-17,2008-04-17,1425,38475.0,483.0,5468.88,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",61.56,61.56,2008,0
namibia,PMO - US,Direct Drop,Air,,2008-03-18,2008-06-04,2008-06-04,2008-06-04,142,10222.58,33.0,1715.17,"Orgenics, Ltd",16.36,16.36,2008,0
vietnam,PMO - US,Direct Drop,Air,,2008-03-31,2008-06-03,2008-06-03,2008-06-03,8400,96432.0,654.0,4051.34,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),154.29,154.29,2008,0
south africa,PMO - US,Direct Drop,Truck,,2008-02-20,2008-04-24,2008-04-24,2008-04-24,6,405.06,,,S. BUYS WHOLESALER,0.65,0.65,2008,0
south africa,PMO - US,Direct Drop,Truck,,2008-02-20,2008-04-24,2008-04-24,2008-04-24,600,870.0,,,S. BUYS WHOLESALER,1.39,1.39,2008,0
vietnam,PMO - US,Direct Drop,Air,,2008-03-31,2008-07-12,2008-07-12,2008-07-12,400,2800.0,81.0,2211.05,BRISTOL-MYERS SQUIBB,4.48,4.48,2008,0
south africa,PMO - US,Direct Drop,Air,,2008-04-04,2008-04-25,2008-04-07,2008-04-07,6,77.1,,,S. BUYS WHOLESALER,0.12,0.12,2008,-18
nigeria,PMO - US,Direct Drop,Air,,,2008-07-09,2008-07-09,2008-07-09,5498,439785.02,1251.0,16090.22,"Orgenics, Ltd",703.66,703.66,2008,0
nigeria,PMO - US,Direct Drop,Air,,,2008-07-09,2008-07-04,2008-07-04,5498,54.98,,,"Orgenics, Ltd",0.09,0.09,2008,-5
ethiopia,PMO - US,Direct Drop,Air,,,2008-05-09,2008-05-09,2008-05-09,15,691.42,,,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,1.11,1.11,2008,0
vietnam,PMO - US,Direct Drop,Air,,2008-05-14,2008-09-19,2008-09-19,2008-09-19,1344,18359.04,1537.0,13507.92,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),29.37,29.37,2008,0
south africa,PMO - US,Direct Drop,Truck,,,2008-08-20,2008-08-20,2008-08-20,20,103.4,,,S. BUYS WHOLESALER,0.2,0.2,2008,0
south africa,PMO - US,Direct Drop,Truck,,,2008-08-20,2008-05-08,2008-05-08,100,1906.0,,,S. BUYS WHOLESALER,3.05,3.05,2008,-104
south africa,PMO - US,Direct Drop,Truck,,,2008-08-20,2008-05-08,2008-05-08,670,1025.1,,,S. BUYS WHOLESALER,1.64,1.64,2008,-104
tanzania,PMO - US,Direct Drop,Air,,2008-05-15,2008-09-02,2008-09-02,2008-09-02,2597,61470.99,117.0,645.1,BRISTOL-MYERS SQUIBB,98.35,98.35,2008,0
haiti,PMO - US,Direct Drop,Air,,2008-05-20,2008-09-30,2008-09-30,2008-09-30,28,9800.0,109.0,782.13,Orasure Technologies Inc.,15.68,15.68,2008,0
haiti,PMO - US,Direct Drop,Air,,2008-05-23,2008-11-24,2008-11-24,2008-11-24,84,11676.0,54.0,871.57,"Trinity Biotech, Plc",22.88,22.88,2008,0
south africa,PMO - US,Direct Drop,Truck,,,2008-06-12,2008-06-09,2008-06-09,30,1049.4,,,S. BUYS WHOLESALER,1.68,1.68,2008,-3
vietnam,PMO - US,Direct Drop,Air,,2008-07-01,2008-09-19,2008-09-19,2008-09-19,38640,92736.0,2719.0,18614.72,Aurobindo Pharma Limited,148.38,148.38,2008,0
nigeria,PMO - US,Direct Drop,Air,,2008-07-02,2009-02-25,2008-09-09,2008-09-09,34,1547.68,115.0,1755.87,IDA FOUNDATION,2.48,2.48,2008,-169
vietnam,PMO - US,Direct Drop,Air,,2008-07-03,2008-10-08,2008-10-08,2008-10-08,42000,60900.0,2600.0,10179.16,Aurobindo Pharma Limited,97.44,97.44,2008,0
south africa,PMO - US,Direct Drop,Truck,,,2008-07-10,2008-07-08,2008-07-08,50,696.5,,,S. BUYS WHOLESALER,1.11,1.11,2008,-2
vietnam,PMO - US,Direct Drop,Air,,2008-07-24,2008-11-27,2008-11-27,2008-11-27,16800,171192.0,1224.0,4686.88,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),335.54,335.54,2008,0
guyana,PMO - US,Direct Drop,Air,,2008-07-25,2008-08-15,2008-08-15,2008-08-15,98,3675.0,34.0,180.0,ZEPHYR BIOMEDICALS,5.88,5.88,2008,0
zambia,PMO - US,Direct Drop,Air,,2008-07-31,2008-10-20,2008-10-20,2008-10-20,4500,323955.0,1053.0,11062.05,"Orgenics, Ltd",634.95,634.95,2008,0
namibia,PMO - US,Direct Drop,Air,,2008-08-26,2008-09-18,2008-09-18,2008-09-18,10,320.0,,,"Trinity Biotech, Plc",0.51,0.51,2008,0
côte d'ivoire,PMO - US,Direct Drop,Air,,2008-08-27,2008-10-02,2008-10-02,2008-10-02,500,38000.0,562.0,11298.13,BIO-RAD LABORATORIES (FRANCE),60.8,60.8,2008,0
côte d'ivoire,PMO - US,Direct Drop,Air,,2008-09-03,2009-01-23,2009-01-23,2009-01-23,25000,9750.0,1708.0,12830.91,IDA FOUNDATION,19.11,19.11,2009,0
nigeria,PMO - US,Direct Drop,Air,,2009-03-06,2009-03-10,2009-04-08,2009-04-08,9,453.6,,,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),0.89,0.89,2009,29
namibia,PMO - US,Direct Drop,Air,,2008-09-24,2008-10-29,2008-10-29,2008-10-29,150,10798.5,46.0,2698.04,"Orgenics, Ltd",21.17,21.17,2008,0
botswana,PMO - US,Direct Drop,Air,,2008-10-02,2008-11-28,2008-11-28,2008-11-28,15,450.0,1.0,578.01,"Trinity Biotech, Plc",0.88,0.88,2008,0
zambia,PMO - US,Direct Drop,Air,,2008-10-02,2009-01-23,2009-01-23,2009-01-23,319,6380.0,100.0,1122.24,"Standard Diagnostics, Inc.",12.5,12.5,2009,0
south africa,PMO - US,Direct Drop,Truck,,,2009-05-17,2008-10-09,2008-10-09,80,1830.4,,,S. BUYS WHOLESALER,3.59,3.59,2008,-220
south africa,PMO - US,Direct Drop,Truck,,,2009-05-17,2009-05-17,2009-05-17,120,2745.6,,,S. BUYS WHOLESALER,5.38,5.38,2009,0
south africa,PMO - US,Direct Drop,Truck,,,2009-05-17,2008-10-09,2008-10-09,600,858.0,,,S. BUYS WHOLESALER,1.68,1.68,2008,-220
south africa,PMO - US,Direct Drop,Truck,,,2009-05-17,2008-10-09,2008-10-09,7,91.35,,,S. BUYS WHOLESALER,0.18,0.18,2008,-220
south africa,PMO - US,Direct Drop,Truck,,,2009-05-17,2008-10-09,2008-10-09,40,1375.6,,,S. BUYS WHOLESALER,2.7,2.7,2008,-220
guyana,PMO - US,Direct Drop,Air,,2008-11-19,2009-02-06,2009-02-06,2009-02-06,108,4050.0,,,ZEPHYR BIOMEDICALS,7.94,7.94,2009,0
tanzania,PMO - US,Direct Drop,Air,,2008-12-19,2009-04-21,2009-04-21,2009-04-21,50000,2520000.0,4093.0,9339.0,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),4939.2,4939.2,2009,0
côte d'ivoire,PMO - US,Direct Drop,Air,,2008-12-19,2009-03-02,2009-03-02,2009-03-02,140,2731.4,5209.0,25405.22,IDA FOUNDATION,5.35,5.35,2009,0
mozambique,PMO - US,Direct Drop,Air,,2009-01-05,2009-03-23,2009-03-23,2009-03-23,5700,182400.0,1906.0,23914.8,"Trinity Biotech, Plc",357.5,357.5,2009,0
vietnam,PMO - US,Direct Drop,Air,,2009-01-16,2009-04-10,2009-04-10,2009-04-10,5964,51350.04,3509.0,12835.2,Aurobindo Pharma Limited,100.65,100.65,2009,0
vietnam,PMO - US,Direct Drop,Air,,2009-01-16,2009-04-10,2009-04-10,2009-04-10,21000,50400.0,,,Aurobindo Pharma Limited,98.78,98.78,2009,0
vietnam,PMO - US,Direct Drop,Air,,2009-01-16,2009-03-23,2009-03-23,2009-03-23,10560,72864.0,924.0,4225.93,CIPLA LIMITED,142.81,142.81,2009,0
vietnam,PMO - US,Direct Drop,Air,,2008-10-21,2009-03-16,2009-03-16,2009-03-16,2352,20250.72,211.0,892.5,Aurobindo Pharma Limited,39.69,39.69,2009,0
tanzania,PMO - US,Direct Drop,Air,,2009-02-05,2009-05-28,2009-05-28,2009-05-28,524,21536.4,644.0,6668.61,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),42.21,42.21,2009,0
tanzania,PMO - US,Direct Drop,Air,,2009-02-05,2009-05-04,2009-05-04,2009-05-04,2094,21526.32,237.0,,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),42.19,42.19,2009,0
rwanda,PMO - US,Direct Drop,Air,,2009-02-18,2009-04-28,2009-04-28,2009-04-28,8249,185602.5,2800.0,12595.81,Premier Medical Corporation Ltd.,363.78,363.78,2009,0
nigeria,PMO - US,Direct Drop,Air,,2009-03-04,2009-09-30,2009-09-30,2009-09-30,200,4734.0,11.0,463.0,BRISTOL-MYERS SQUIBB,9.28,9.28,2009,0
haiti,PMO - US,Direct Drop,Air,,2009-03-06,2009-03-31,2009-03-31,2009-03-31,80,760.0,43.0,260.0,BRISTOL-MYERS SQUIBB,1.49,1.49,2009,0
haiti,PMO - US,Direct Drop,Air,,2009-03-06,2009-03-31,2009-03-31,2009-03-31,32,402.88,,,BRISTOL-MYERS SQUIBB,0.79,0.79,2009,0
haiti,PMO - US,Direct Drop,Air,,2009-03-06,2009-04-15,2009-04-15,2009-04-15,46,472.88,10.0,893.22,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),0.93,0.93,2009,0
south africa,PMO - US,Direct Drop,Air,,,2009-03-31,2008-12-02,2008-12-02,3025,47522.75,,,S. BUYS WHOLESALER,93.14,93.14,2008,-119
south africa,PMO - US,Direct Drop,Air,,,2009-04-07,2008-12-03,2008-12-03,3500,49840.0,,,S. BUYS WHOLESALER,97.69,97.69,2008,-125
south africa,PMO - US,Direct Drop,Air,,,2009-04-07,2008-12-03,2008-12-03,1008,3588.48,,,S. BUYS WHOLESALER,7.03,7.03,2008,-125
south africa,PMO - US,Direct Drop,Air,,,2009-05-05,2008-12-23,2008-12-23,960,1152.0,,,S. BUYS WHOLESALER,2.26,2.26,2008,-133
south africa,PMO - US,Direct Drop,Air,,,2009-05-12,2008-12-30,2008-12-30,1800,10512.0,,,S. BUYS WHOLESALER,20.6,20.6,2008,-133
south africa,PMO - US,Direct Drop,Air,,,2009-03-31,2008-11-21,2008-11-21,1200,3384.0,,,S. BUYS WHOLESALER,6.63,6.63,2008,-130
south africa,PMO - US,Direct Drop,Air,,2009-03-18,2009-06-25,2009-04-21,2009-04-21,346,1954.9,,,S. BUYS WHOLESALER,3.83,3.83,2009,-65
south africa,PMO - US,Direct Drop,Truck,,2009-03-18,2009-06-25,2009-06-05,2009-06-05,5300,16642.0,,,S. BUYS WHOLESALER,32.62,32.62,2009,-20
south africa,PMO - US,Direct Drop,Air,,2009-03-18,2009-06-25,2009-06-17,2009-06-17,342,1932.3,,,S. BUYS WHOLESALER,3.79,3.79,2009,-8
south africa,PMO - US,Direct Drop,Truck,,2009-06-15,2009-08-19,2009-08-19,2009-08-19,2700,10665.0,,,S. BUYS WHOLESALER,20.9,20.9,2009,0
south africa,PMO - US,Direct Drop,Air,,2009-03-27,2009-06-25,2009-04-14,2009-04-14,3735,134385.3,,,S. BUYS WHOLESALER,263.4,263.4,2009,-72
south africa,PMO - US,Direct Drop,Air,,2009-03-27,2009-06-25,2009-04-29,2009-04-29,6000,80640.0,,,S. BUYS WHOLESALER,158.05,158.05,2009,-57
south africa,PMO - US,Direct Drop,Air,,2009-03-27,2009-06-25,2009-04-20,2009-04-20,11672,35016.0,,,S. BUYS WHOLESALER,68.63,68.63,2009,-66
botswana,PMO - US,Direct Drop,Air,,2009-03-25,2009-11-13,2009-11-13,2009-11-13,20,7000.0,48.0,1172.11,Orasure Technologies Inc.,13.72,13.72,2009,0
côte d'ivoire,PMO - US,Direct Drop,Air,,2009-03-30,2009-06-30,2009-06-30,2009-06-30,10240,420864.0,2523.0,14806.48,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),824.89,824.89,2009,0
côte d'ivoire,PMO - US,Direct Drop,Air,,2009-03-30,2009-07-22,2009-07-22,2009-07-22,400,15344.0,175.0,7642.97,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),30.07,30.07,2009,0
south africa,PMO - US,Direct Drop,Truck,,2009-04-02,2009-07-31,2009-04-21,2009-04-21,30,1080.0,,,S. BUYS WHOLESALER,2.12,2.12,2009,-101
south africa,PMO - US,Direct Drop,Truck,,2009-04-02,2009-05-15,2009-04-17,2009-04-17,80,2816.0,,,S. BUYS WHOLESALER,5.52,5.52,2009,-28
south africa,PMO - US,Direct Drop,Truck,,2009-04-02,2009-05-15,2009-04-23,2009-04-23,1000,19770.0,,3134.85,S. BUYS WHOLESALER,38.75,38.75,2009,-22
haiti,PMO - US,Direct Drop,Air,,2009-04-02,2009-09-16,2009-09-16,2009-09-16,60,21000.0,144.0,3128.19,Orasure Technologies Inc.,41.16,41.16,2009,0
kenya,PMO - US,Direct Drop,Air,,2009-04-04,2009-07-10,2009-07-10,2009-07-10,7500,600000.0,2215.0,16835.31,"Orgenics, Ltd",1176.0,1176.0,2009,0
nigeria,PMO - US,Direct Drop,Air,,2009-04-09,2009-08-18,2009-08-18,2009-08-18,6395,511600.0,1915.0,24514.33,"Orgenics, Ltd",1002.74,1002.74,2009,0
rwanda,PMO - US,Direct Drop,Air,,2009-04-15,2009-07-25,2009-07-25,2009-07-25,55356,386384.88,4482.0,37404.74,HETERO LABS LIMITED,757.31,757.31,2009,0
côte d'ivoire,PMO - US,Direct Drop,Air,,2009-04-15,2009-09-15,2009-09-15,2009-09-15,1000,110000.0,1101.0,8074.03,BIO-RAD LABORATORIES (FRANCE),215.6,215.6,2009,0
vietnam,PMO - US,Direct Drop,Air,,2009-04-29,2009-07-17,2009-07-17,2009-07-17,8,613.76,48.0,3366.04,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),1.2,1.2,2009,0
vietnam,PMO - US,Direct Drop,Air,,2009-04-29,2009-07-10,2009-07-10,2009-07-10,3500,39025.0,1804.0,6341.88,Aurobindo Pharma Limited,76.49,76.49,2009,0
botswana,PMO - US,Direct Drop,Air,,2009-05-27,2009-06-12,2009-07-10,2009-07-10,5,1750.0,12.0,684.42,Orasure Technologies Inc.,3.43,3.43,2009,28
namibia,PMO - US,Direct Drop,Air,,2009-05-18,2009-09-01,2009-09-01,2009-09-01,67,5025.0,48.0,401.97,"Orgenics, Ltd",9.85,9.85,2009,0
vietnam,PMO - US,Direct Drop,Air,,2009-05-27,2009-07-28,2009-07-28,2009-07-28,400,2800.0,148.0,14.36,BRISTOL-MYERS SQUIBB,5.49,5.49,2009,0
namibia,PMO - US,Direct Drop,Air,,2009-06-02,2009-06-29,2009-06-29,2009-06-29,220,7040.0,79.0,1736.18,"Trinity Biotech, Plc",13.8,13.8,2009,0
south africa,PMO - US,Direct Drop,Truck,,2009-06-05,2009-07-28,2009-07-28,2009-07-28,50,490.0,,,S. BUYS WHOLESALER,0.96,0.96,2009,0
south africa,PMO - US,Direct Drop,Truck,,2009-06-05,2009-10-12,2009-08-05,2009-08-05,5000,41300.0,,,S. BUYS WHOLESALER,80.95,80.95,2009,-68
south africa,PMO - US,Direct Drop,Truck,,2009-06-05,2009-10-12,2009-07-28,2009-07-28,460,2838.2,,,S. BUYS WHOLESALER,5.56,5.56,2009,-76
côte d'ivoire,PMO - US,Direct Drop,Air,,2006-04-19,2006-06-27,2006-06-27,2006-06-27,147,11076.45,165.0,1816.57,BIO-RAD LABORATORIES (FRANCE),,0.0,2006,0
côte d'ivoire,PMO - US,Direct Drop,Air,,,2006-07-14,2006-07-14,2006-07-14,6,2400.0,15.0,1039.5,Orasure Technologies Inc.,,0.0,2006,0
vietnam,PMO - US,Direct Drop,Air,,,2006-11-16,2006-11-16,2006-11-16,2800,19600.0,555.0,3292.15,BRISTOL-MYERS SQUIBB,,0.0,2006,0
haiti,PMO - US,Direct Drop,Air,,,2006-11-09,2006-11-09,2006-11-09,15,6000.0,36.0,1195.29,Orasure Technologies Inc.,,0.0,2006,0
zimbabwe,PMO - US,Direct Drop,Air,,,2006-11-07,2006-11-07,2006-11-07,260,11096.8,135.0,,INTERNATIONAL HEALTHCARE DISTRIBUTORS,,0.0,2006,0
nigeria,PMO - US,Direct Drop,Air,,,2006-12-07,2006-12-07,2006-12-07,894,2994.9,479.0,4861.14,Aurobindo Pharma Limited,,0.0,2006,0
vietnam,PMO - US,Direct Drop,Air,,2006-11-15,2007-03-14,2007-03-14,2007-03-14,25100,276100.0,2575.0,18772.94,CIPLA LIMITED,,0.0,2007,0
vietnam,PMO - US,Direct Drop,Air,,2006-11-15,2007-03-14,2007-03-14,2007-03-14,95500,144205.0,9170.0,42453.21,STRIDES ARCOLAB LIMITED,,0.0,2007,0
guyana,PMO - US,Direct Drop,Air,,,2006-12-29,2006-12-29,2006-12-29,900,36000.0,316.0,4989.87,"Trinity Biotech, Plc",,0.0,2006,0
mozambique,PMO - US,Direct Drop,Air,,2006-11-17,2007-02-15,2007-02-15,2007-02-15,80,3288.0,25.0,,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),,0.0,2007,0
vietnam,PMO - US,Direct Drop,Air,,2007-01-09,2007-05-12,2007-05-12,2007-05-12,70000,525000.0,6813.0,31858.09,CIPLA LIMITED,,0.0,2007,0
rwanda,PMO - US,Direct Drop,Air,,2006-12-22,2007-02-27,2007-02-27,2007-02-27,71577,1087970.4,,,CIPLA LIMITED,,0.0,2007,0
rwanda,PMO - US,Direct Drop,Air,,2006-12-22,2007-02-27,2007-02-27,2007-02-27,5605,202340.5,,,CIPLA LIMITED,,0.0,2007,0
ethiopia,PMO - US,Direct Drop,Air,,2006-12-14,2006-12-28,2006-12-28,2006-12-28,200,16000.0,,,Abbott GmbH & Co. KG,,0.0,2006,0
vietnam,PMO - US,Direct Drop,Air,,2007-02-07,2007-08-24,2007-08-24,2007-08-24,25000,187500.0,2348.0,21439.59,CIPLA LIMITED,300.0,300.0,2007,0
nigeria,PMO - US,Direct Drop,Air,,,2007-03-15,2007-03-30,2007-03-30,375,28500.0,402.0,4445.75,BIO-RAD LABORATORIES (FRANCE),,0.0,2007,15
ethiopia,PMO - US,Direct Drop,Air,,2006-12-14,2007-01-15,2007-01-15,2007-01-15,4650,372000.0,1707.0,24859.45,Abbott GmbH & Co. KG,,0.0,2007,0
côte d'ivoire,PMO - US,Direct Drop,Air,,2007-05-09,2007-10-23,2007-10-23,2007-10-23,1577,14981.5,306.0,,BRISTOL-MYERS SQUIBB,23.97,23.97,2007,0
